date,description,amount
2025-01-02,Zomato - Dinner order,648.00
2025-01-03,BMTC Bus Pass January,500.00
2025-01-04,Swiggy - Lunch,320.00
2025-01-05,BigBasket grocery order,2340.00
2025-01-06,Reliance Smart grocery,1850.00
2025-01-07,Netflix subscription,649.00
2025-01-08,Uber - office commute,185.00
2025-01-09,Zomato - Breakfast,210.00
2025-01-10,DMart weekend shopping,3200.00
2025-01-11,Spotify Premium,119.00
2025-01-12,Swiggy Instamart,760.00
2025-01-13,Uber - airport drop,680.00
2025-01-14,Electricity bill BESCOM,1420.00
2025-01-15,Salary credited,95000.00
2025-01-16,Zepto instant delivery,430.00
2025-01-17,Airtel prepaid recharge,299.00
2025-01-18,Zomato - Weekend brunch,890.00
2025-01-19,Ola ride,220.00
2025-01-20,Amazon - earphones,1499.00
2025-01-21,Swiggy - Office lunch,380.00
2025-01-22,BookMyShow - movie tickets,700.00
2025-01-23,Bajaj Finance EMI,4500.00
2025-01-24,Zomato - Dinner,540.00
2025-01-25,LIC premium payment,3200.00
2025-01-26,Swiggy - Republic Day special,450.00
2025-01-27,Rapido bike ride,80.00
2025-01-28,Blinkit groceries,910.00
2025-01-29,Amazon Prime renewal,1499.00
2025-01-30,Zomato - Late night order,320.00
2025-01-31,Paytm wallet topup,500.00
2025-02-01,Swiggy - Sunday brunch,720.00
2025-02-02,Uber - office commute,195.00
2025-02-03,BigBasket weekly order,1980.00
2025-02-04,Zomato - Valentine dinner,1800.00
2025-02-05,PharmEasy medicine order,640.00
2025-02-06,Rapido bike ride,95.00
2025-02-07,Airtel broadband bill,999.00
2025-02-08,Swiggy - office lunch,410.00
2025-02-09,Ola ride,240.00
2025-02-10,Zomato - Lunch,380.00
2025-02-11,Amazon Fresh order,1150.00
2025-02-12,Uber - late night,350.00
2025-02-13,Swiggy Instamart,580.00
2025-02-14,Zomato - Valentine special,2200.00
2025-02-15,Salary credited,95000.00
2025-02-16,Netflix subscription,649.00
2025-02-17,Spotify Premium,119.00
2025-02-18,Rapido bike ride,75.00
2025-02-19,DMart monthly shop,2800.00
2025-02-20,BookMyShow - standup show,1200.00
2025-02-21,Zomato - Dinner,560.00
2025-02-22,Bajaj Finance EMI,4500.00
2025-02-23,Uber - airport pickup,720.00
2025-02-24,Swiggy - lunch,395.00
2025-02-25,Zepto delivery,510.00
2025-02-26,MakeMyTrip - Goa flights,8500.00
2025-02-27,Zomato - Office order,290.00
2025-02-28,Gym membership renewal,1500.00
2025-03-01,Swiggy - Weekend order,670.00
2025-03-02,Rapido bike ride,90.00
2025-03-03,BigBasket order,2100.00
2025-03-04,Uber - commute,210.00
2025-03-05,Zomato - Lunch,440.00
2025-03-06,Amazon - household items,1890.00
2025-03-07,Electricity bill BESCOM,1560.00
2025-03-08,Swiggy - Women's day dinner,1100.00
2025-03-09,PhonePe UPI transfer - rent,18000.00
2025-03-10,Ola ride,260.00
2025-03-11,Zomato - Breakfast,230.00
2025-03-12,Swiggy Instamart,690.00
2025-03-13,Rapido bike ride,85.00
2025-03-14,Netflix subscription,649.00
2025-03-15,Salary credited,95000.00
2025-03-16,Spotify Premium,119.00
2025-03-17,Zomato - Holi special,780.00
2025-03-18,BookMyShow - IPL tickets,2400.00
2025-03-19,Uber - commute,195.00
2025-03-20,DMart shopping,3100.00
2025-03-21,Bajaj Finance EMI,4500.00
2025-03-22,Swiggy - lunch,420.00
2025-03-23,MakeMyTrip - Goa hotel,12000.00
2025-03-24,Zomato - Dinner,610.00
2025-03-25,Airtel prepaid recharge,299.00
2025-03-26,Amazon - books,850.00
2025-03-27,Rapido bike ride,100.00
2025-03-28,Swiggy - weekend brunch,840.00
2025-03-29,Zepto groceries,760.00
2025-03-30,Zomato - late night,350.00
2025-03-31,SIP investment - Parag Parikh,5000.00
